pkSeqID,stime,proto,pkts,bytes,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory
1701431,1526963701.561686,udp,2,203,1526963701.704397,225,0.142711,0.142711,0.0,0.142711,0.142711,0.142711,1,1,64,139,7.007168,0.0,0.0,0,Normal,Normal
1610651,1526895301.434711,udp,2,203,1526895301.577524,226,0.142813,0.142813,0.0,0.142813,0.142813,0.142813,1,1,64,139,7.002164,0.0,0.0,0,Normal,Normal
1555020,1526878274.483553,udp,2,176,1526878279.531425,36343,5.047872,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198103,0.198103,0.0,0,Normal,Normal
1492355,1526876592.547194,udp,2,172,1526876595.048285,26447,2.501091,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399826,0.399826,0.0,0,Normal,Normal
40904022,1528096368.507396,udp,4389,4270143,1528096408.340492,17910,39.833096,4.926613,0.125346,39.412903,4.615202,4.99874,2196,2193,2090186,2179957,110.159653,55.104931,55.029617,0,Normal,Normal
61745203,1528099842.253641,tcp,753,536400,1528099857.995989,10,15.742348,3.917139,1.854503,15.668555,0.705047,4.988496,753,0,536400,0,47.769241,47.769241,0.0,0,Normal,Normal
59913195,1528099706.191674,udp,1271,1220856,1528099724.065128,3119,17.873453,4.459451,0.917448,17.837805,2.870384,4.990404,1271,0,1220856,0,71.055099,71.055099,0.0,0,Normal,Normal
50304793,1528097690.572843,tcp,5600,5457375,1528097725.571603,11,34.99876,4.988946,0.002214,34.922626,4.985888,4.99248,2800,2800,2816345,2641030,159.977097,79.974258,79.974258,0,Normal,Normal
1518965,1526877108.217459,udp,2,176,1526877113.258966,53328,5.041507,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198353,0.198353,0.0,0,Normal,Normal
454387,1526885498.43444,tcp,16545,14672587,1526886771.330507,3,1272.896118,4.934014,0.035054,1253.239624,4.905121,4.999999,16545,0,14672587,0,12.997133,12.997133,0.0,0,Normal,Normal
786635,1526902207.506716,udp,2,274,1526902208.668547,1790,1.161831,1.161831,0.0,1.161831,1.161831,1.161831,1,1,85,189,0.86071,0.0,0.0,0,Normal,Normal
1828981,1529381179.794522,udp,2,1310,1529381179.852719,691,0.058197,0.058197,0.0,0.058197,0.058197,0.058197,1,1,91,1219,17.183016,0.0,0.0,0,Normal,Normal
1716847,1526963923.350966,udp,2,176,1526963928.394256,15803,5.04329,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198283,0.198283,0.0,0,Normal,Normal
20993159,1528085740.782416,udp,1814,1737182,1528085763.491666,714,22.709249,4.531315,0.932755,22.656574,2.665805,4.999738,1814,0,1737182,0,79.835312,79.835312,0.0,0,Normal,Normal
1828279,1526982770.533406,udp,2,176,1526982775.581464,35851,5.048058,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198096,0.198096,0.0,0,Normal,Normal
49518367,1528097482.725397,udp,11004,10704077,1528097551.508318,68,68.782921,4.901648,0.320311,68.623062,3.746797,4.999483,5502,5502,5227929,5476148,159.967041,79.97625,79.97625,0,Normal,Normal
1479351,1526876255.003364,udp,2,340,1526876255.235475,13288,0.232111,0.232111,0.0,0.232111,0.232111,0.232111,1,1,81,259,4.308283,0.0,0.0,0,Normal,Normal
