,pkts,bytes,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,_peer_ip
0,49,20702,0,24.85205626487732,0.5177511721849442,2.7492661705365014,24.85205626487732,0.0,18.774502992630005,24,25,16439,4263,1.971667836164135,0.9657148585293722,1.0059529776347629,34.54.84.110
1,39,2874,0,24.064006328582764,0.6332633244363886,1.4014486261024068,24.064006328582764,7.62939453125e-06,8.39290452003479,14,25,924,1950,1.6206777652678952,0.5817817618910393,1.038896003376856,142.250.196.234
2,12,1010,0,21.61194086074829,1.9647218964316628,3.798993065624196,21.61194086074829,4.76837158203125e-06,10.17258906364441,1,11,149,861,0.5552486043395786,0.04627071702829822,0.5089778873112804,192.168.1.1
3,6,420,0,28.237866640090942,5.647573328018188,6.90854825326194,28.237866640090942,3.0994415283203125e-05,15.023514032363892,2,4,132,288,0.2124806408527141,0.07082688028423803,0.14165376056847606,142.250.197.42
4,6,396,0,26.970102787017822,5.3940205574035645,9.54221395926647,26.970102787017822,2.2649765014648438e-05,24.423643112182617,2,4,132,264,0.2224685625925062,0.0741561875308354,0.1483123750616708,15.235.230.206
5,5,610,0,5.0545103549957275,1.2636275887489319,1.759150298449576,5.0545103549957275,2.0265579223632812e-05,4.289645195007324,2,3,274,336,0.9892155023598179,0.39568620094392715,0.5935293014158908,157.240.199.53
6,4,456,0,26.01137638092041,8.670458793640137,12.261848049183907,26.01137638092041,1.811981201171875e-05,26.011330604553223,2,2,348,108,0.15377886742410285,0.07688943371205142,0.07688943371205142,205.24.94.98
7,3,402,0,2.0412325859069824,1.0206162929534912,1.0205860137939453,2.0412325859069824,3.0279159545898438e-05,2.0412023067474365,2,1,348,54,1.4697002295145154,0.9798001530096769,0.48990007650483847,246.36.21.191
8,3,402,0,5.638429403305054,2.819214701652527,2.819177269935608,5.638429403305054,3.743171691894531e-05,5.638391971588135,2,1,348,54,0.5320630596601073,0.3547087064400715,0.17735435322003576,241.62.200.233
9,3,402,0,7.445751428604126,3.722875714302063,3.722861647605896,7.445751428604126,1.4066696166992188e-05,7.445737361907959,2,1,348,54,0.4029143369566418,0.26860955797109454,0.13430477898554727,171.186.33.227
10,3,402,0,8.115097284317017,4.057548642158508,4.057507872581482,8.115097284317017,4.076957702636719e-05,8.11505651473999,2,1,348,54,0.36968133528081126,0.24645422352054083,0.12322711176027042,98.94.154.246
11,3,402,0,18.438982725143433,9.219491362571716,9.219469428062439,18.438982725143433,2.193450927734375e-05,18.438960790634155,2,1,348,54,0.1626987803350558,0.10846585355670386,0.05423292677835193,111.123.48.96
12,3,402,0,12.035049676895142,6.017524838447571,6.017485022544861,12.035049676895142,3.981590270996094e-05,12.035009860992432,2,1,348,54,0.24927192496424777,0.1661812833094985,0.08309064165474925,192.2.62.198
13,3,402,0,19.154226779937744,9.577113389968872,9.577069282531738,19.154226779937744,4.410743713378906e-05,19.15418267250061,2,1,348,54,0.1566233935969798,0.10441559573131985,0.052207797865659926,105.157.4.157
14,3,282,0,15.711944818496704,7.855972409248352,7.855919718742371,15.711944818496704,5.269050598144531e-05,15.711892127990723,1,2,174,108,0.19093753412806574,0.06364584470935525,0.1272916894187105,98.246.21.191
15,2,228,0,2.8133392333984375e-05,2.8133392333984375e-05,0.0,2.8133392333984375e-05,2.8133392333984375e-05,2.8133392333984375e-05,1,1,174,54,71089.89830508475,35544.94915254237,35544.94915254237,192.118.107.58
16,2,228,0,3.170967102050781e-05,3.170967102050781e-05,0.0,3.170967102050781e-05,3.170967102050781e-05,3.170967102050781e-05,1,1,174,54,63072.240601503756,31536.120300751878,31536.120300751878,163.230.238.226
17,2,228,0,2.5272369384765625e-05,2.5272369384765625e-05,0.0,2.5272369384765625e-05,2.5272369384765625e-05,2.5272369384765625e-05,1,1,174,54,79137.81132075471,39568.90566037736,39568.90566037736,191.191.61.253
18,2,228,0,1.8835067749023438e-05,1.8835067749023438e-05,0.0,1.8835067749023438e-05,1.8835067749023438e-05,1.8835067749023438e-05,1,1,174,54,106184.91139240506,53092.45569620253,53092.45569620253,82.157.79.173
19,2,228,0,1.621246337890625e-05,1.621246337890625e-05,0.0,1.621246337890625e-05,1.621246337890625e-05,1.621246337890625e-05,1,1,174,54,123361.88235294117,61680.94117647059,61680.94117647059,28.93.47.100
20,2,228,0,2.193450927734375e-05,2.193450927734375e-05,0.0,2.193450927734375e-05,2.193450927734375e-05,2.193450927734375e-05,1,1,174,54,91180.52173913043,45590.260869565216,45590.260869565216,2.223.10.113
21,2,228,0,1.2874603271484375e-05,1.2874603271484375e-05,0.0,1.2874603271484375e-05,1.2874603271484375e-05,1.2874603271484375e-05,1,1,174,54,155344.59259259258,77672.29629629629,77672.29629629629,144.188.242.219
22,2,228,0,1.3589859008789062e-05,1.3589859008789062e-05,0.0,1.3589859008789062e-05,1.3589859008789062e-05,1.3589859008789062e-05,1,1,174,54,147168.56140350876,73584.28070175438,73584.28070175438,33.3.36.3
23,2,228,0,1.71661376953125e-05,1.71661376953125e-05,0.0,1.71661376953125e-05,1.71661376953125e-05,1.71661376953125e-05,1,1,174,54,116508.44444444444,58254.22222222222,58254.22222222222,73.113.3.148
24,2,228,0,1.9550323486328125e-05,1.9550323486328125e-05,0.0,1.9550323486328125e-05,1.9550323486328125e-05,1.9550323486328125e-05,1,1,174,54,102300.09756097561,51150.04878048781,51150.04878048781,105.201.98.128
25,2,228,0,2.5272369384765625e-05,2.5272369384765625e-05,0.0,2.5272369384765625e-05,2.5272369384765625e-05,2.5272369384765625e-05,1,1,174,54,79137.81132075471,39568.90566037736,39568.90566037736,73.246.165.144
26,2,228,0,2.1457672119140625e-05,2.1457672119140625e-05,0.0,2.1457672119140625e-05,2.1457672119140625e-05,2.1457672119140625e-05,1,1,174,54,93206.75555555556,46603.37777777778,46603.37777777778,242.191.200.137
27,2,228,0,2.7179718017578125e-05,2.7179718017578125e-05,0.0,2.7179718017578125e-05,2.7179718017578125e-05,2.7179718017578125e-05,1,1,174,54,73584.28070175438,36792.14035087719,36792.14035087719,191.244.27.108
28,2,228,0,3.3855438232421875e-05,3.3855438232421875e-05,0.0,3.3855438232421875e-05,3.3855438232421875e-05,3.3855438232421875e-05,1,1,174,54,59074.704225352114,29537.352112676057,29537.352112676057,211.181.118.109
